school_id,school_name,school_level,office_of_education_name,road_address
B000012117,부산중앙여자고등학교,고등학교,부산광역시교육청,부산광역시 동래구 온천천로 131
B000011543,세경고등학교,고등학교,경기도교육청,경기도 파주시 파주읍 술이홀로 379
B000012939,세종여자고등학교,고등학교,세종특별자치시교육청,세종특별자치시 조치원읍 봉산로 16
B000011968,불암고등학교,고등학교,서울특별시교육청,서울특별시 노원구 중계로 155
B000011536,경기영상과학고등학교,고등학교,경기도교육청,경기도 고양시 일산서구 강선로 8
B000012214,성서고등학교,고등학교,대구광역시교육청,대구광역시 달서구 선원로 221
B000011587,충북생명산업고등학교,고등학교,충청북도교육청,충청북도 보은군 보은읍 자영고길 10
B000011933,무학여자고등학교,고등학교,서울특별시교육청,서울특별시 성동구 고산자로 197
B000011932,성심여자고등학교,고등학교,서울특별시교육청,서울특별시 용산구 원효로19길 49
B000011959,삼각산고등학교,고등학교,서울특별시교육청,서울특별시 강북구 삼양로19길 40
B000011820,부산외국어고등학교,고등학교,부산광역시교육청,부산광역시 연제구 고분로 144
B000011630,정읍제일고등학교,고등학교,전북특별자치도교육청,전북특별자치도 정읍시 충정로 252
B000011531,한겨레고등학교,고등학교,경기도교육청,경기도 안성시 죽산면 칠장로 107-9
B000011930,보성여자고등학교,고등학교,서울특별시교육청,서울특별시 용산구 신흥로3가길 66
B000013450,중경고등학교,고등학교,서울특별시교육청,서울특별시 용산구 이촌로84길 34
B000012037,영등포고등학교,고등학교,서울특별시교육청,서울특별시 동작구 등용로8길 5
B000012756,강원대학교사범대학부설고등학교,고등학교,강원특별자치도교육청,강원특별자치도 춘천시 서부대성로 257
B000012323,설월여자고등학교,고등학교,광주광역시교육청,광주광역시 남구 천변좌로604번길 12
B000012993,군산동고등학교,고등학교,전북특별자치도교육청,전북특별자치도 군산시 달여길 50
B000011532,여주자영농업고등학교,고등학교,경기도교육청,경기도 여주시 능서면 농도원1길 78-1
B000012304,대청고등학교,고등학교,인천광역시교육청,인천광역시 옹진군 대청면 대청로244번길 116-45
B000012501,충훈고등학교,고등학교,경기도교육청,경기도 안양시 만안구 석수로 238
B000012013,마포고등학교,고등학교,서울특별시교육청,서울특별시 강서구 화곡로 403
B000011856,안양외국어고등학교,고등학교,경기도교육청,경기도 안양시 만안구 양화로37번길 36
B000023187,증산고등학교,고등학교,경상남도교육청,경상남도 양산시 물금읍 새실로 99
B000013573,광양제철고등학교,고등학교,전라남도교육청,전라남도 광양시 마로니에길 61
B000011519,발안바이오과학고등학교,고등학교,경기도교육청,경기도 화성시 향남읍 발안로 71
B000011459,대전신일여자고등학교,고등학교,대전광역시교육청,대전광역시 중구 부사로 48
B000011908,경남예술고등학교,고등학교,경상남도교육청,경상남도 진주시 진산로322번길 11-7
B000012456,판교고등학교,고등학교,경기도교육청,경기도 성남시 분당구 동판교로 257
B000027317,세종캠퍼스고등학교,고등학교,세종특별자치시교육청,세종특별자치시 산울3로 140
B000013340,삼천포고등학교,고등학교,경상남도교육청,경상남도 사천시 벌리6길 77
B000012101,부산서여자고등학교,고등학교,부산광역시교육청,부산광역시 서구 보수대로 202-6
B000023266,경기관광고등학교,고등학교,경기도교육청,경기도 여주시 대신면 여양로 1416
B000011905,경북체육고등학교,고등학교,경상북도교육청,경상북도 경산시 경안로 43
B000013004,이리남성여자고등학교,고등학교,전북특별자치도교육청,전북특별자치도 익산시 동서로35길 41
B000011304,휘경공업고등학교,고등학교,서울특별시교육청,서울특별시 동대문구 겸재로 21
B000013243,하양여자고등학교,고등학교,경상북도교육청,경상북도 경산시 하양읍 지식산업로8길 21
B000011998,홍익대학교사범대학부속여자고등학교,고등학교,서울특별시교육청,서울특별시 마포구 성미산로 51
B000013383,명덕고등학교,고등학교,경상남도교육청,경상남도 함안군 가야읍 고분길 107
B000011695,법성고등학교,고등학교,전라남도교육청,전라남도 영광군 법성면 용덕로 66
B000012121,혜화여자고등학교,고등학교,부산광역시교육청,부산광역시 동래구 명장로 99번길 23
B000012347,운남고등학교,고등학교,광주광역시교육청,광주광역시 광산구 임방울대로165번길 17
B000012726,교하고등학교,고등학교,경기도교육청,경기도 파주시 책향기로 180
B000011392,부산정보관광고등학교,고등학교,부산광역시교육청,부산광역시 금정구 동현로 37
B000011919,경신고등학교,고등학교,서울특별시교육청,서울특별시 종로구 혜화로 74
B000012454,복정고등학교,고등학교,경기도교육청,경기도 성남시 수정구 복정안골로 35
B000023241,세종고등학교,고등학교,경기도교육청,경기도 여주시 청심로 221
B000023278,진양고등학교,고등학교,경상남도교육청,경상남도 진주시 충의로100번길 12
B000011963,효문고등학교,고등학교,서울특별시교육청,서울특별시 도봉구 우이천로 432
B000012696,진건고등학교,고등학교,경기도교육청,경기도 남양주시 진건읍 진건오남로 369-1
B000011882,충남과학고등학교,고등학교,충청남도교육청,충청남도 공주시 반포면 금벽로 1351-15
B000012527,경안고등학교,고등학교,경기도교육청,경기도 안산시 단원구 당곡로 93
B000012816,대화고등학교,고등학교,강원특별자치도교육청,강원특별자치도 평창군 대화면 대화중앙로 32-8
B000011307,송곡관광고등학교,고등학교,서울특별시교육청,서울특별시 중랑구 양원역로 67
B000011346,서울매그넷고등학교,고등학교,서울특별시교육청,서울특별시 금천구 탑골로10길 45
B000012479,부천여자고등학교,고등학교,경기도교육청,경기도 부천시 원미구 석천로16번길 37
B000012887,음성고등학교,고등학교,충청북도교육청,충청북도 음성군 음성읍 중앙로 109-16
B000013408,덕산고등학교,고등학교,경상남도교육청,경상남도 산청군 시천면 남명로159번길 1
B000012008,백암고등학교,고등학교,서울특별시교육청,서울특별시 양천구 신정로13길 16
B000011753,한일여자고등학교,고등학교,경상남도교육청,경상남도 창원시 마산회원구 양덕서8길 50
B000012327,동아여자고등학교,고등학교,광주광역시교육청,광주광역시 남구 오방로 16-10
B000011500,안양문화고등학교,고등학교,경기도교육청,경기도 안양시 만안구 양화로37번길 36
B000011786,한국뷰티고등학교,고등학교,제주특별자치도교육청,제주특별자치도 제주시 한경면 용고로 70
B000011602,공주정보고등학교,고등학교,충청남도교육청,충청남도 공주시 마근동길 29
B000011373,세정고등학교,고등학교,부산광역시교육청,부산광역시 부산진구 양정로 88-12
B000012451,창현고등학교,고등학교,경기도교육청,경기도 수원시 팔달구 월드컵로 216-1
B000012408,우신고등학교,고등학교,울산광역시교육청,울산광역시 남구 대학로1번길 29
B000013499,해운대고등학교,고등학교,부산광역시교육청,부산광역시 해운대구 우동3로11번길 43
B000013081,여남고등학교,고등학교,전라남도교육청,전라남도 여수시 남면 우실해안길 5
B000012523,성포고등학교,고등학교,경기도교육청,경기도 안산시 상록구 충장로 538
B000012475,낙생고등학교,고등학교,경기도교육청,경기도 성남시 분당구 대왕판교로 477
B000012191,성광고등학교,고등학교,대구광역시교육청,대구광역시 북구 검단로 150
B000012906,공주대학교사범대학부설고등학교,고등학교,충청남도교육청,충청남도 공주시 봉황로 75
B000012328,송원여자고등학교,고등학교,광주광역시교육청,광주광역시 남구 송암로 73
B000012349,광주진흥고등학교,고등학교,광주광역시교육청,광주광역시 광산구 왕버들로 307
B000012315,광주대동고등학교,고등학교,광주광역시교육청,광주광역시 서구 전평길 50
B000013173,영일고등학교,고등학교,경상북도교육청,경상북도 포항시 남구 연일읍 동문로 56
B000013328,삼현여자고등학교,고등학교,경상남도교육청,경상남도 진주시 돗골로 95
B000011383,부산해군과학기술고등학교,고등학교,부산광역시교육청,부산광역시 해운대구 해운대로469번길 96
B000012055,서초고등학교,고등학교,서울특별시교육청,서울특별시 서초구 반포대로27길 29
B000011446,동일미래과학고등학교,고등학교,광주광역시교육청,광주광역시 남구 천변좌로 604
B000011937,대원고등학교,고등학교,서울특별시교육청,서울특별시 광진구 용마산로22길 26
B000012110,부산동성고등학교,고등학교,부산광역시교육청,부산광역시 부산진구 동성로 16
B000012116,충렬고등학교,고등학교,부산광역시교육청,부산광역시 동래구 명장로106번길 26
B000027060,NLCS JeJu,고등학교,제주특별자치도교육청,제주특별자치도 서귀포시 대정읍 글로벌에듀로145번길 33
B000011971,청원고등학교,고등학교,서울특별시교육청,서울특별시 노원구 한글비석로 506
B000012761,유봉여자고등학교,고등학교,강원특별자치도교육청,강원특별자치도 춘천시 봉의산길22번길 28
B000013502,연제고등학교,고등학교,부산광역시교육청,부산광역시 연제구 쌍미천로30번길 31
B000013137,함평고등학교,고등학교,전라남도교육청,전라남도 함평군 함평읍 함영로 1584-28
B000013457,면목고등학교,고등학교,서울특별시교육청,서울특별시 중랑구 용마산로72길 36-14
B000012317,광덕고등학교,고등학교,광주광역시교육청,광주광역시 서구 화정로 202
B000013302,창원대암고등학교,고등학교,경상남도교육청,경상남도 창원시 성산구 대암로 203
B000012819,상지대관령고등학교,고등학교,강원특별자치도교육청,강원특별자치도 평창군 대관령면 해당화3길 24
B000011381,대양고등학교,고등학교,부산광역시교육청,부산광역시 남구 지게골로 128-27
B000013492,부산남고등학교,고등학교,부산광역시교육청,부산광역시 영도구 중리북로 5
B000013581,경산고등학교,고등학교,경상북도교육청,경상북도 경산시 원효로 89
B000012276,명신여자고등학교,고등학교,인천광역시교육청,인천광역시 부평구 원적로 260
B000012196,경명여자고등학교,고등학교,대구광역시교육청,대구광역시 북구 칠성로17길 18
B000013065,목포홍일고등학교,고등학교,전라남도교육청,전라남도 목포시 북항로 88
B000013539,대전송촌고등학교,고등학교,대전광역시교육청,대전광역시 대덕구 선비마을로23번길 11
B000011563,한국소방마이스터고등학교,고등학교,강원특별자치도교육청,강원특별자치도 영월군 영월읍 영모전길 108
B000013349,김해분성여자고등학교,고등학교,경상남도교육청,경상남도 김해시 삼계로 171
B000013259,수비고등학교,고등학교,경상북도교육청,경상북도 영양군 수비면 낙동정맥로 2417
B000012959,삽교고등학교,고등학교,충청남도교육청,충청남도 예산군 삽교읍 삽교로 161
B000013532,대전여자고등학교,고등학교,대전광역시교육청,대전광역시 동구 용운로1번길 28-37
B000011867,동두천외국어고등학교,고등학교,경기도교육청,경기도 동두천시 지행로 145
B000013277,대창고등학교,고등학교,경상북도교육청,경상북도 예천군 예천읍 대창학교길 33
B000011814,부산일과학고등학교,고등학교,부산광역시교육청,부산광역시 사하구 제석로 242
B000013051,순창고등학교,고등학교,전북특별자치도교육청,전북특별자치도 순창군 순창읍 옥천로 67-14
B000013542,현대청운고등학교,고등학교,울산광역시교육청,울산광역시 동구 방어진순환도로 1077
B000011982,상명고등학교,고등학교,서울특별시교육청,서울특별시 노원구 덕릉로 553
B000026776,이순신고등학교,고등학교,충청남도교육청,충청남도 아산시 배방읍 동방로 132
B000013318,마산내서여자고등학교,고등학교,경상남도교육청,경상남도 창원시 마산회원구 내서읍 삼풍로 133
B000012102,부경고등학교,고등학교,부산광역시교육청,부산광역시 서구 망양로33번길 12
B000012261,문일여자고등학교,고등학교,인천광역시교육청,인천광역시 남동구 구월로372번길 56
B000012345,장덕고등학교,고등학교,광주광역시교육청,광주광역시 광산구 수등로 45
B000011811,부산국제고등학교,고등학교,부산광역시교육청,부산광역시 부산진구 백양관문로 105-70
B000012112,성모여자고등학교,고등학교,부산광역시교육청,부산광역시 부산진구 양지로 29-1
B000011694,영광전자고등학교,고등학교,전라남도교육청,전라남도 영광군 염산면 칠산로 98-27
B000023239,김포호수고등학교,고등학교,경기도교육청,경기도 김포시 김포한강4로420번길 115
B000012966,당진고등학교,고등학교,충청남도교육청,충청남도 당진시 백암로 219-20
B000013002,원광고등학교,고등학교,전북특별자치도교육청,전북특별자치도 익산시 무왕로31길 139
B000013122,장흥관산고등학교,고등학교,전라남도교육청,전라남도 장흥군 관산읍 당월길 9
B000013329,경해여자고등학교,고등학교,경상남도교육청,경상남도 진주시 남강로 39
B000011656,여수석유화학고등학교,고등학교,전라남도교육청,전라남도 여수시 대통1길 45
B000023144,보람고등학교,고등학교,세종특별자치시교육청,세종특별자치시 한누리대로 2176
B000012372,대전복수고등학교,고등학교,대전광역시교육청,대전광역시 서구 혜천로 66
B000012035,영신고등학교,고등학교,서울특별시교육청,서울특별시 영등포구 대방천로14길 18
B000011517,청담고등학교,고등학교,경기도교육청,경기도 평택시 팽성읍 팽성송화로 192
B000012164,부산대저고등학교,고등학교,부산광역시교육청,부산광역시 강서구 공항로811번가길 46
B000013066,목포덕인고등학교,고등학교,전라남도교육청,전라남도 목포시 죽선로 39-2
B000011947,신현고등학교,고등학교,서울특별시교육청,서울특별시 중랑구 봉화산로 174
B000011480,매향여자정보고등학교,고등학교,경기도교육청,경기도 수원시 팔달구 수원천로 350
B000012995,군산상일고등학교,고등학교,전북특별자치도교육청,전북특별자치도 군산시 석치1길 17
B000013546,의왕고등학교,고등학교,경기도교육청,경기도 의왕시 덕영대로 115
B000013245,영남삼육고등학교,고등학교,경상북도교육청,경상북도 경산시 남산면 서원길 58-31
B000011339,서울신정고등학교,고등학교,서울특별시교육청,서울특별시 강서구 등촌로13아길 20
B000023146,반곡고등학교,고등학교,세종특별자치시교육청,세종특별자치시 시청대로 566
B000024471,홍성고등학교,고등학교,충청남도교육청,충청남도 홍성군 홍북읍 홍학로 49
B000011892,전주예술고등학교,고등학교,전북특별자치도교육청,전북특별자치도 완주군 구이면 신전길 120
B000011642,한국기술부사관고등학교,고등학교,전북특별자치도교육청,전북특별자치도 진안군 진안읍 상역로 96
B000011606,서산공업고등학교,고등학교,충청남도교육청,충청남도 서산시 운산면 운암로 1072-12
B000012598,향남고등학교,고등학교,경기도교육청,경기도 화성시 향남읍 행정동로 49
B000011650,줄포자동차공업고등학교,고등학교,전북특별자치도교육청,전북특별자치도 부안군 줄포면 우포로 10
B000011406,경북여자상업고등학교,고등학교,대구광역시교육청,대구광역시 남구 명덕로38길 36
B000012619,풍산고등학교,고등학교,경기도교육청,경기도 하남시 덕풍서로 11
B000012623,김포과학기술고등학교,고등학교,경기도교육청,경기도 김포시 봉화로 69
B000012732,광탄고등학교,고등학교,경기도교육청,경기도 파주시 광탄면 혜음로1128번길 16
B000011766,진영제일고등학교,고등학교,경상남도교육청,경상남도 김해시 진영읍 진영로265번길 9-4
B000011956,한성여자고등학교,고등학교,서울특별시교육청,서울특별시 성북구 삼선교로16길 117
B000013099,광영고등학교,고등학교,전라남도교육청,전라남도 광양시 가야로 322
